Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
Entity 92: Reversing. Pos: (12800.20, 3024.00), Dir: -1.0, Reason: Ledge Detected
